Code,Description (unusable),Description (usable),Type,Full amt,Issues,Copy val,Grace
1,,Friends for Jones Special,S,$29.95 ,6.00,$4.99 ,1
10F,DO NOT USE Foodshow 2010,,S,$34.95 ,6.00,$5.82 ,1
123,,tmmc 1 year 6 issues,S,$119.84 ,6.00,$19.97 ,1
1DF,,fathers day 1 year  2011,S,$37.85 ,6.00,$6.30 ,1
1F,DO NOT USE FoodShow Specials 2007,,S,$34.95 ,6.00,$5.82 ,1
1MS,,1 Year Magshop,S,$32.20 ,6.00,$5.36 ,1
1N,DO NOT USE New 1 Year NZ Price,,S,$44.95 ,6.00,$7.49 ,1
1RD,DO NOT USE1 Year Renewal,,S,$34.95 ,6.00,$5.82 ,1
1RO,,ISUBSCRIBE UK,S,$99.56 ,6.00,$16.59 ,1
1SP,,Special Bulk Sub Price 1 Year,S,$34.95 ,6.00,$5.82 ,1
1TM,,1 Year TMMC,S,$59.92 ,6.00,$9.98 ,1
1WS,,2 Year Tangible website,S,$74.95 ,12.00,$6.24 ,1
1X,XMAS Rate - NZ 1 year,,S,$24.95 ,4.00,$6.23 ,1
1Y,DO NOT USE1 year NZ -,,S,$39.95 ,6.00,$6.65 ,1
1YN,,DO NOT USE 1 Year Dish,S,$42.75 ,6.00,$7.12 ,1
1YR,,1 year ROW TMMC,S,$99.56 ,6.00,$16.59 ,1
1YS,DO NOT USESpecial Offer blue form),,S,$32.00 ,6.00,$5.33 ,1
2,DO NOT USE NZ Current 2 year Price,,S,$79.95 ,12.00,$6.66 ,1
2DF,,fathers day 2 year 2011,S,$75.70 ,12.00,$6.30 ,1
2RD,DO NOT USE 2 Year Renewal Only,,S,$64.95 ,12.00,$5.41 ,1
2X,DO NOT USEXMAS Rate - 2ormore subs,,S,$21.50 ,4.00,$5.37 ,1
2Y,DO NOT USE 2 years NZ -,,S,$74.95 ,12.00,$6.24 ,1
2YN,DO NOT USE 2 Year New GST Dish,,S,$79.80 ,12.00,$6.65 ,1
6M,,6 th months free-Publisher request,F,$0.00 ,3.00,$0.00 ,1
A1,DO NOT USE AUS 1 year Price,,S,$59.95 ,6.00,$9.99 ,1
A1N,DO NOT USE Australia 1 year,,S,$87.95 ,6.00,$14.65 ,1
AF2,,Auckland food show 2011 2 y,S,$69.00 ,12.00,$5.75 ,1
